No.,Expression,Reading,Meaning
1870,高校; 高等学校,こうこう; こうとうがっこう,high school; senior high school
1871,似る,にる,"to resemble, to be similar"
1872,～おわる,～おわる,to finish doing ~
1873,暖房,だんぼう,heating
1874,留守,るす,absence; not at home
1875,割合,わりあい,"rate, ratio, percentage"
1876,寺,てら,Buddhist temple
1877,慣れる,なれる,to grow accustomed to
1878,普通,ふつう,common; usual
1879,手伝う,てつだう,to help
1880,なるほど,なるほど,I see; I now understand
1881,くださる,くださる,"(hon.) to give, to confer"
1882,息子,むすこ,(humble) son
1883,お子さん,おこさん,(someone else's) child (polite)
1884,会場,かいじょう,"venue, meeting place"
1885,笑う,わらう,"to laugh, to smile"
1886,運ぶ,はこぶ,"to transport, to carry"
1887,文学,ぶんがく,literature
1888,光,ひかり,light
1889,お見舞い,おみまい,"calling on someone who is ill, visit"
1890,席,せき,a seat
1891,～様,～さま,"Mr., Mrs., Ms."
1892,ご存じ,ごぞんじ,"knowing, acquaintance"
1893,下る,さがる,"to descend, to drop, to fall"
1894,字,じ,letter; character
1895,アジア,アジア,Asia
1896,褒める,ほめる,to praise; to say nice things
1897,空く,すく,"to be empty (in reference to people), to be less crowded"
1898,あ,あ,Ah
1899,最も,もっとも,most
1900,合う,あう,"to fit, to match"
1901,～代,～だい,~ age; period
1902,最後,さいご,"last, end"
1903,値段,ねだん,price
1904,退院,たいいんする,leaving hospital
1905,展覧会,てんらんかい,exhibition
1906,久しぶり,ひさしぶり,it has been a long time; for the first time in a long time
1907,カーテン,カーテン,curtain
1908,汽車,きしゃ,train (steam)
1909,遅れる,おくれる,to (be) become late
1910,見つかる,みつかる,"to be found (v.i.), to be discovered"
1911,召し上がる,めしあがる,-- honorific form of 食べる (たべる) and 飲む (のむ) --
1912,太る,ふとる,to gain weight
1913,注射,ちゅうしゃ,injection
1914,様,よう,"way, manner, kind"
1915,～おき,～おき,after every ~
1916,最初,さいしょ,"beginning, first"
1917,御～,ご～,honorable ~
1918,安心,あんしん,"peace of mind, relief"
1919,直る,なおる,to be fixed
1920,集める,あつめる,"to collect, to gather (v.t.), to assemble"
1921,直す,なおす,to correct (v.t.); to fix
1922,続く,つづく,to be continued
1923,先輩,せんぱい,senior members of a group
1924,約束,やくそく,"arrangement, appointment, promise"
1925,世話,せわする,looking after; to look after
1926,近所,きんじょ,neighborhood
1927,将来,しょうらい,(in the) future; prospects
1928,億,おく,hundred million
1929,数学,すうがく,mathematics
1930,文化,ぶんか,culture
1931,払う,はらう,to pay
1932,習慣,しゅうかん,custom (in reference to culture)
1933,焼ける,やける,"to burn, to be roasted"
1934,君,きみ,you (informal for men)
1935,冷える,ひえる,"to grow cold, to cool down"
1936,点く,つく,"to be started, to be switched on"
1937,この間,このあいだ,"the other day, recently"
1938,かっこう,格好,"appearance, manner, shape, form, posture"
1939,かまう,,"to mind, to care about, to be concerned about"
1940,続ける,つづける,"to continue, to keep up"
1941,落す,おとす,"to drop, to lose"
1942,明日,あす,tomorrow
1943,出発,しゅっぱつする,departure
1944,拝見,はいけんする,"(humble) (polite) seeing, look at"
1945,割れる,われる,to break
1946,背中,せなか,back (of body)
1947,新聞社,しんぶんしゃ,newspaper company
1948,いじめる,いじめる,"to bully, to torment"
1949,回る、回す,まわる、まわす,"to go around, to revolve"
1950,～君,～くん,"Mr. (junior) ~, master ~"
1951,おっしゃる,おっしゃる,-- honorific expression for いう --
1952,眠い,ねむい,"sleepy, drowsy"
1953,濡れる,ぬれる,to get wet
1954,倒れる,たおれる,"to collapse, to break down"
1955,スーパー (マーケット),スーパー (マーケット),supermarket
1956,アクセサリー,アクセサリー,accessory
1957,考える,かんがえる,to think (about); to consider
1958,向かう,むかう,"to face, to go towards"
1959,自由,じゆう,freedom
1960,仕方,しかた,way (of doing something)
1961,首,くび,neck
1962,程,ほど,"degree, extent"
1963,代わり,かわり,"substitute, replacement"
1964,失敗,しっぱい,"failure, mistake"
1965,工業,こうぎょう,(manufacturing) industry
1966,移る,うつる,to move (from a house); to transfer (from a department); to shift
1967,スーツケース,スーツケース,suitcase
1968,ひげ,ひげ,beard
1969,研究室,けんきゅうしつ,the professor's office; laboratory
1970,工場,こうじょう,factory
1971,紹介,しょうかい,an introduction
1972,けれど; けれども,けれど; けれども,"but, although"
1973,舟,ふね,"ship, boat"
1974,動く,うごく,to move
1975,～(に) ついて,～(に) ついて,"about, concerning"
1976,コンサート,コンサート,concert
1977,虫,むし,insect
1978,優しい,やさしい,"kind (person), gentle (person), easy (problem)"
1979,コンピュータ; コンピューター,コンピュータ; コンピューター,computer
1980,植える,うえる,to plant
1981,両方,りょうほう,"both sides, both parties"
1982,汚れる,よごれる,to become dirty
1983,水泳,すいえい,swimming
1984,経験,けいけんする,experience
1985,勝つ,かつ,to win
1986,砂,すな,sand
1987,警察,けいさつ,police; police station
1988,取り替える,とりかえる,"to exchange, to replace"
1989,急ぐ,いそぐ,"to hurry, to be in a hurry, to rush"
1990,簡単,かんたん,simple
1991,参る,まいる,humble expression for 行く and 来る
1992,全然,ぜんぜん,"not at all; wholly, entirely"
1993,特別,とくべつ,special
1994,復習,ふくしゅう,"review (of lessons), revision"
1995,間に合う,まにあう,to be in time for
1996,役に立つ,やくにたつ,"to be helpful, to be useful"
1997,もうすぐ,もうすぐ,very soon; in a few moments; days
1998,真中,まんなか,"middle, center"
1999,戻る,もどる,to return (v.i.); to come back
2000,研究,けんきゅう,"study, research, investigation"
2001,ケーキ,ケーキ,cake
2002,草,くさ,grass
2003,込む,こむ,to be crowded
2004,この頃,このごろ,"these days, nowadays"
2005,訪ねる,たずねる,to visit
2006,下げる,さげる,to lower (v.t.); to hang
2007,花見,はなみ,cherry-blossom viewing
2008,途中,とちゅう,"on the way, midway"
2009,入院,にゅういんする,hospitalization
2010,乗り換える,のりかえる,"to transfer (trains), to change (bus, train, etc.)"
2011,別れる,わかれる,"to part from, to separate"
2012,～町,～ちょう,the town of ~
2013,安全,あんぜん,"safety, security"
2014,看護婦,かんごふ,(female) nurse
2015,見物,けんぶつ,sightseeing
2016,相談,そうだんする,consultation
2017,ガソリンスタンド,ガソリンスタンド,"gas station, service station"
2018,テニス,テニス,tennis
2019,眠る,ねむる,to sleep
2020,上がる,あがる,"to rise, to go up"
2021,翻訳,ほんやく,translation
2022,食事,しょくじする,meal
2023,おかげ,お陰,thanks or owing to
2024,娘,むすめ,daughter (humble)
2025,湯,ゆ,hot water
2026,競争,きょうそう,"competition, contest"
2027,会議,かいぎ,business meeting; conference
2028,湖,みずうみ,lake
2029,集まる,あつまる,"to gather (v.i.), to collect"
2030,～にくい,～にくい,difficult to do ~
2031,生活,せいかつする,"living, life; to live"
2032,糸,いと,thread
2033,関係,かんけい,"relation(ship), connection"
2034,ピアノ,ピアノ,piano
2035,～目,～め,"number ~ sequence, ~nd; ~th"
2036,番組,ばんぐみ,broadcast program
2037,急,きゅう,"urgent, sudden; steep"
2038,棚,たな,"shelves, rack"
2039,木綿,もめん,cotton
2040,輸出,ゆしゅつする,export
2041,タイプ,タイプ,"type, style"
2042,すり,すり,pickpocket
2043,うれしい,嬉しい,to be happy; to be glad
2044,アルコール,アルコール,alcohol
2045,ソフト,ソフト,soft; soft hat; software
2046,神社,じんじゃ,Shinto shrine
2047,大分,だいぶ,"fairly well, to a large extent, considerably, pretty much"
2048,楽しみ,たのしみ,"pleasure, joy"
2049,趣味,しゅみ,hobby; pastime
2050,電報,でんぽう,telegram
2051,家内,かない,(one's own) wife
2052,指,ゆび,finger
2053,これから,これから,"from now on, after this"
2054,たまに,たまに,occasionally
2055,社会,しゃかい,society
2056,N4,,
2057,踏む,ふむ,"to step on, to tread on"
2058,～区,～く,"~ district, ~ ward, ~ borough"
2059,すっと,すっと,"straight, quickly"
2060,盗む,ぬすむ,to steal; to rob
2061,大抵,たいてい,"generally, usually"
2062,とうとう,とうとう,"finally, at last"
2063,ガソリン,ガソリン,"gasoline, petrol"
2064,鳴る,なる,"to sound, to ring (v.i.)"
2065,しっかり,しっかり,"firmly, steady"
2066,生きる,いきる,to live
2067,苦い,にがい,bitter
2068,沸く,わく,"to boil, to grow hot"
2069,意見,いけん,"opinion, view, idea"
2070,やはり; やっぱり,やはり; やっぱり,"as I thought, absolutely"
2071,漫画,まんが,"comic (book), cartoon"
2072,ステレオ,ステレオ,stereo
2073,医学,いがく,medical science
2074,テキスト,テキスト,text; text book
2075,～月,～つき,month
2076,折る,おる,"to snap, to break; to bend"
2077,～会,～かい,~ meeting
2078,うかがう,うかがう,to ask
2079,聞こえる,きこえる,"to be heard, to be audible"
2080,僕,ぼく,I (used by men towards those of equal or lower status)
2081,必ず,かならず,"surely, certainly"
2082,壊す,こわす,"to break, to break down"
2083,怒る,おこる,to get angry; to scold angrily
2084,床屋,とこや,barber's (shop)
2085,オートバイ,オートバイ,motorcycle (lit: auto-bi(ke))
2086,運動,うんどうする,exercise
2087,止む,やむ,"to cease, to stop"
2088,もし,もし,if
2089,表,おもて,surface; front; outside
2090,大学生,だいがくせい,"college student, university student"
2091,運転手,うんてんしゅ,driver (by occupation)
2092,予習,よしゅう,preparation of lessons (for class)
2093,心配,しんぱいする,"worry, concern"
2094,別,べつ,"distinction, different"
2095,非常に,ひじょうに,extremely; very
2096,お宅,おたく,(someone else's) house; home -- polite word for 家 (いえ) --
2097,柔らかい,やわらかい,"soft (in reference to texture), tender"
2098,拾う,ひろう,"to pick up (something), to find"
2099,～ございます,～ございます,"to be (polite), to exist"
2100,気,き,"spirit, mood"
2101,比べる,くらべる,to compare
2102,ほとんど,ほとんど,"mostly, almost"
2103,つもり,つもり,"intention, plan"
2104,郊外,こうがい,"suburb, outskirts"
2105,だめ,だめ,"useless, no good, hopeless"
2106,売り場,うりば,place where things are sold
2107,正月,しょうがつ,"New Year, New Year's Day"
2108,規則,きそく,"rule, regulation"
2109,うん,うん,"yes (informal), all right (ok)"
2110,発音,はつおん,pronunciation
2111,焼く,やく,"to bake, to grill"
2112,屋上,おくじょう,rooftop
2113,失礼,しつれい,"discourtesy, impoliteness; Excuse me"
2114,ごみ,ごみ,"trash, garbage"
2115,アフリカ,アフリカ,Africa
2116,点,てん,"mark, score, grade; point, dot"
2117,一生懸命,いっしょうけんめい,"very hard (as in ""to work hard""), with utmost effort"
2118,今度,こんど,"now, this time, near future, one of these days, next time"
2119,機会,きかい,"chance, opportunity"
2120,建てる,たてる,to build
2121,複雑,ふくざつ,"complexity, complication"
2122,彼,かれ,"he, boyfriend"
2123,いらっしゃる,いらっしゃる,"-- honorific expression for いく, くる, and いる --"
2124,布団,ふとん,futon
2125,大事,だいじ,"important, valuable, serious matter"
2126,贈り物,おくりもの,a gift; a present
2127,泥棒,どろぼう,thief; burglar
2128,～製,～せい,made in ~
2129,注意,ちゅうい,"caution, attention"
2130,台風,たいふう,typhoon
2131,日,ひ,"sun, sunshine, day"
2132,～軒,～けん,counter for houses
2133,そう,そう,"really, (is that) so; yes, right"
2134,通る,とおる,"to pass (by), to go through"
2135,過ぎる,すぎる,"to exceed, to go beyond"
