Expression,Meaning
ずっと,for a long time; all the time; consecutively
すっぱい,"sour, acid"
すてき,"lovely, great"
既に,already (same as もう)
すなわち,"that is, namely, e.g."
スピーチ,speech
全て,"all, the whole, entirely"
済ませる,to be finished
角,corner
墨,ink
すみません (かん),"sorry, excuse me"
澄む,"to clear (e.g., weather), to become transparent"
清む,"to clear (e.g., weather), to become transparent"
刷る,to print
為る,"to do, to attempt"
鋭い,"pointed, sharp"
すれ違う,to pass by one another
ずれる,"move, off the point"
正,"(logical) true, regular"
生,birth
性,"sex, gender"
姓,"surname, family name"
所為,"cause, reason, fault"
税,tax
性格,"character, personality"
正確,"accurate, punctuality, exact"
世紀,century
請求,"claim, demand, request"
税金,"tax, duty"
清潔,clean
制限,"restriction, restraint, limitation"
成功,"success, hit"
正式,"official, formal"
性質,"nature, property, disposition"
精神,"mind, soul, spirit"
成人,adult
精々,"at the most, at best"
成績,"grade (i.e., on a test), academic record"
製造,"manufacture, production"
贅沢,"luxury, extravagance"
成長,growth
生長,growth
制度,"system, institution"
青年,"youth, young man"
生年月日,birth date
製品,"manufactured goods, finished goods"
政府,"government, administration"
生物,"living thing, organism"
生命,life
整理,"sorting, arrangement"
咳,cough
石炭,coal
責任,"duty, responsibility"
石油,"oil, petroleum, kerosene"
世間,"world, society"
説,theory
積極的,"positive, active, proactive"
設計,"plan, design"
絶対,"definitely, without fail, absoluteness"
セット,set
愛,love
相変わらず,"as ever, as usual"
愛情,"love, affection"
合図,"sign, signal"
アイスクリーム,ice cream
愛する,to love
相手,partner; addressee; the person you are talking to
あいにく,unfortunately
遭う,"to meet, to encounter (undesirable nuance)"
アウト,out
明かり,"lamplight, light (in general)"
空き,"vacancy, opening, space"
明らか,"obvious, clear"
諦める,"to give up, to abandon"
飽きる,"to get tired of, to lose interest in"
握手,handshake
悪魔,"devil, demon, evil spirit"
明ける,"to dawn, to become daylight"
揚げる,"to lift, to fry"
挙げる,"to raise; to list, to cite"
預かる,to keep (something) for (someone)
預ける,"to give into custody, to deposit"
汗,"sweat, perspiration"
与える,to give
温かい,warm
暖まる,to warm up
温まる,"to warm oneself, to get warm"
暖める,"to warm (up to someone/something), to heat (up to someone/something)"
温める,"to warm, to heat"
辺り,"vicinity, nearby"
当たり前,"usual, common, obvious"
当たる,"to be hit, to be successful"
あちこち,here and there
扱う,"to treat, to handle, to deal with"
集まり,"gathering, meeting, collection"
当てる,to hit; to apply to
跡,trace; remains; scar
穴,hole
油,oil
脂,fat
誤り,error
粗,"defect, flaw, fault"
嵐,storm
争う,"to dispute, to argue, to fight"
新た,"new, fresh"
あらゆる,"all, every"
表す,"to express, to show"
現す,"to show, to appear, to reveal"
著す,"to write, to publish"
現れ,"expression, indication, sign"
現れる,"to appear (v.i.), to become visible; to express"
ありがとう,Thank you
在る; 有る,"to live, to be, to exist"
或,"a certain..., some..."
あるいは,"or, perhaps"
アルバム,album
泡,"bubble, foam"
合わせる,to combine
慌てる,to become confused、to panic
哀れ,"helpless, pity, pathetic"
案,"plan, scheme, proposal"
案外,unexpectedly
暗記,"memorization, learning by heart"
安定,"stability, equilibrium"
あんなに,"to that extent, to that degree"
あんまり,"not very, not much"
胃,stomach
委員,committee member
意外,"unexpected, surprising"
行き,going
行き,going
息,breath
勢い,"force, vigor, momentum"
生き物,"living thing, creature"
いけない,"must not do, bad, wrong"
医師,"doctor, physician"
意思,"intention, purpose"
意志,"will, volition"
維持,"maintenance, preservation"
意識,"consciousness, senses"
異常,"strangeness, abnormality, disorder"
意地悪,"malicious, mean, unkind"
泉,"spring, fountain"
いずれ,"where, which, who"
以前,in the past; before
板,"board, plank"
偉大,greatness
抱く,"to hold (v.t.) (written expression), to embrace, to harbor"
いたずら,"trick, practical joke"
いただきます,expression of gratitude before meals
痛み,"pain, ache, sore"
至る,"to come, to arrive"
市,"market, fair"
位置,"place, position"
一時,"for a time, temporarily"
一度に,all at once
市場,"market, bazaar"
いつか,"sometime, one day"
一家,"family, clan"
一種,"a species, a kind, a variety"
一瞬,"a moment, an instant"
一生,throughout (one's) life
一層,"much more, still more"
一体,one object; body; what on earth?; generally
一致,agreement; conformity
いつでも,"(at) any time, always"
いつのまにか,before one knows
一般,"general, average"
一方,on the other hand; meanwhile
いつまでも,"forever, for good, eternally"
移動,"migration, movement"
従兄弟,cousin (male)
従姉妹,cousin (female)
稲,rice-plant
居眠り,"dozing, nodding off"
命,life
違反,"violation (of law), infringement"
衣服,clothes
居間,living room
今に,"before long, soon"
今にも,"at any time, soon"
イメージ,one's image
否,"no, the noes"
以来,"since, henceforth"
依頼,request; dependence
いらいら,"getting nervous, irritation"
いらっしゃい,welcome
医療,"medical care, medical treatment"
岩,rock
祝い,"celebration, festival"
祝う,"to congratulate, to celebrate"
言わば,so to speak
いわゆる,"the so-called, so-to-speak"
インク,ink
印刷,printing
印象,impression
引退,retirement
インタビュー,interview
引用,"quotation, citation"
ウイスキー,whiskey
上,"upper, outer, surface"
魚,fish
うがい,gargling
受け取る,"to receive, to get, to accept"
動かす,"to move, to shift"
兎,"rabbit, hare"
牛,"cattle, cow"
失う,"to lose, to part with"
疑う,"to doubt, to distrust"
宇宙,"universe, cosmos, space"
討つ,"to attack, to avenge"
撃つ,"to attack, to shoot"
うっかり,carelessly; inadvertently
映す,"to project, to reflect, to cast (shadow)"
訴える,"to complain, to appeal, to sue (a person)"
写る,"to be photographed, to be projected"
映る,"to be reflected, to come out (photo)"
うなる,"to groan, to moan"
奪う,"to rob, to deprive"
馬,horse; promoted bishop (in Japanese chess known as shogi)
生まれ,"birth, birth-place"
有無,"yes or no, presence or absence"
梅,"plum, lowest (of a three-tier ranking system)"
埋める,"to bury, to fill up, to fill (a seat, a vacant position)"
裏切る,"to betray, to turn traitor"
羨ましい,"envious, enviable"
売れる,to be sold
噂,"rumor, gossip"
運,"fortune, luck"
運転,"operation, driving"
柄,"handle (of a sword, dagger, etc.), grip"
永遠,"eternity, perpetuity, immortality"
永久,"eternity, perpetuity, immortality"
影響,"influence, effect"
営業,"business, trade, management"
衛星,satellite
栄養,"nutrition, nourishment"
笑顔,smile (on one's face)
描く,"to draw, to depict, to describe"
餌,"feed, bait"
エネルギー,energy (GER: energie)
得る,"to get, to gain, to win, to learn"
得る,"to get, to gain, to win"
円,"circle, yen"
延期,"postponement, adjournment"
演技,"acting, performance"
援助,"assistance, aid, support"
エンジン,engine
演説,"speech, address"
演奏,musical performance
老い,"old age, the aged"
追い付く,"to overtake, to catch up (with)"
王,king
追う,"to chase, to run after"
応援,"aid, assistance, help"
王様,king
王子,prince
応じる,"to adapt, to respond, to comply with"
横断,crossing
終える,to finish
大いに,"much, considerably (same as 大変 (たいへん)), greatly"
覆う,"to cover, to hide, to conceal"
大家,landlord
丘,"hill, height"
沖,open sea
奥,"interior, inner part"
贈る,"to present, to give to, to award to"
起こる,"to occur, to happen"
押える,"to stop, to restrain, to press down"
幼い,"very young, childish"
収める,"to store to pay, to supply"
納める,"to store to pay, to supply"
治める,"to govern, to manage; to subdue"
お辞儀,bow
お洒落,"smartly dressed, fashion-conscious"
お喋り,"chattering, talk"
汚染,"pollution, contamination"
恐らく,perhaps
恐れる,"to fear, to be afraid of"
恐ろしい,"terrible, dreadful"
教わる,to be taught
お互い,"mutual, reciprocal, each other"
穏やか,"calm, gentle, quiet"
男の人,man
大人しい,"obedient, docile, quiet"
劣る,"to fall behind, to be inferior to"
鬼,"ogre, demon, 'it' (e.g.,in a game of tag)"
帯,"band, sash"
お昼,"lunch, noon"
オフィス,office
溺れる,"to be drowned, to indulge in"
お前,"you (sing), presence (of a high personage)"
おめでとう,"Congratulations!, an auspicious occasion!"
お目に掛かる,"meet ~, see ~"
思い付く,"to think of, to hit upon"
思い出,"memories, recollections, reminiscence"
主に,"mainly, primarily"
思わず,"unintentional, spontaneous"
泳ぎ,swimming
およそ,"about, roughly, approximately"
及ぼす,"to exert, to cause, to exercise"
下す,"to lower, to let go down"
降ろす,"to take down, to launch, to drop"
卸す,"to sell wholesale, grated (vegetables)"
音,"sound, note"
恩,"favor, obligation, debt of gratitude"
温暖,warmth
温度,temperature
可,passable
蚊,mosquito
課,"department, division"
カー,car
カード,"card, curd"
貝,"shell, shellfish"
害,"harm, damage"
会員,"member, the membership"
絵画,"picture, painting"
海外,"foreign, abroad, overseas"
会計,"account, finance"
解決,"settlement, solution, resolution"
会合,"meeting, assembly"
外交,diplomacy
開始,"start, commencement, beginning"
解釈,"explanation, interpretation"
外出,"outing, going out"
改善,"betterment, improvement"
快適,"pleasant, agreeable"
回復,"recovery (from illness), rehabilitation, restoration"
飼う,to keep; to own (a pet); to raise; to feed
帰す,to send back
代える,"to exchange, to interchange, to substitute"
替える,"to exchange, to interchange, to substitute"
換える,"to exchange, to interchange, to substitute"
反る,"to warp, to be warped, to curve"
香り,"aroma, fragrance"
画家,painter
抱える,to hold or carry under or in the arms
価格,"price, value"
化学,chemistry
輝く,"to shine, to glitter, to sparkle"
係,person in charge
罹る,to suffer from
限る,"to restrict, to limit, to confine"
掻く,to scratch
描く,"to draw, to depict, to describe"
嗅ぐ,"to sniff, to smell"
